stationid,stationname,platforms
940GZZLULVT,Liverpool Street,Central|Eastbound - Platform 4/Central|Westbound - Platform 5/Circle|Eastbound - Platform 1/Hammersmith & City|Eastbound - Platform 1/Hammersmith & City|Westbound - Platform 2/Metropolitan|Eastbound - Platform 1/Metropolitan|Westbound - Platform 2
940GZZLULNB,London Bridge,Jubilee|Eastbound - Platform 4/Jubilee|Westbound - Platform 3/Northern|Northbound - Platform 1/Northern|Southbound - Platform 2
940GZZLUMSH,Mansion House,Circle|Eastbound - Platform 3/Circle|Westbound - Platform 1/District|Eastbound - Platform 3/District|Westbound - Platform 1
940GZZLUMBA,Marble Arch,Central|Eastbound - Platform 2/Central|Westbound - Platform 1
940GZZLUMYB,Marylebone,Bakerloo|Northbound - Platform 1/Bakerloo|Southbound - Platform 2
940GZZLUMMT,Monument,Circle|Eastbound - Platform 2/Circle|Westbound - Platform 1/District|Eastbound - Platform 2/District|Westbound - Platform 1
940GZZLUMGT,Moorgate,Circle|Eastbound - Platform 1/Hammersmith & City|Eastbound - Platform 1/Hammersmith & City|Westbound - Platform 2/Metropolitan|Eastbound - Platform 1/Metropolitan|Westbound - Platform 2/Northern|Northbound - Platform 7/Northern|Southbound - Platform 8
940GZZNEUGST,Nine Elms,Northern|Northbound - Platform 1/Northern|Southbound - Platform 2
940GZZLUNHG,Notting Hill Gate,Central|Eastbound - Platform 3/Central|Westbound - Platform 4
940GZZLUODS,Old street,Northern|Northbound - Platform 1/Northern|Southbound - Platform 2
940GZZLUOXC,Oxford Circus,Bakerloo|Northbound - Platform 4/Bakerloo|Southbound - Platform 3/Central|Eastbound - Platform 2/Central|Westbound - Platform 1/Victoria|Northbound - Platform 6/Victoria|Southbound - Platform 5
940GZZLUPCC,Piccadilly Circus,Bakerloo|Northbound - Platform 1/Bakerloo|Southbound - Platform 2/Piccadilly|Eastbound - Platform 3/Piccadilly|Westbound - Platform 4
